Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton),Sisa Makanan,Sisa Makanan (%),KayuRanting,KayuRanting (%),KertasKarton,KertasKarton (%),Plastik,Plastik(%),Logam,Logam(%),Kain,Kain(%),Karet Kulit,Karet Kulit (%),Kaca,Kaca(%),Lainnya,Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton),Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B), %Pengurangan Sampah(B/A) ,Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Luas Wilayah (km2)(A),Luas RTH (km2)(B),% RTH(B/A),Taman Kota (km2),Hutan Kota (km2),Jalur hijau di Jalan (km2),Sempadan Sungai (km2),Sempadan Pantai (km2),Tempat Pemakaman Umum (km2),Sempadan Rel Kereta Api (km2),Jalur Hijau Jaringan Listrik Tegangan Tinggi (km2),Pengaman Sumber_Air Baku Mata Air (km2),Kebun Bibit (km2),Lainlain (km2),Klaster
2024,Sulawesi Tenggara,Kab. Kolaka,120.51,43984.58,2272617.75,65.0,174816.75,5.0,349633.5,10.0,349633.5,10.0,174816.75,5.0,34963.35,1.0,34963.35,1.0,69926.7,2.0,34963.35,1.0,78.39,3.62,18.09,6.03,10.85,1.21,2.41,43984.58,2894.666667,6.58109,2100.0,4.7744,4994.67,11.35549,2886.0,2100.0,4.77,P 2,3283.64,0.0,95.8,0.15,0.09,0.19,0.0,0.63,0.06,0.0,0.09,0.0,0.0,3144.59,0
2024,Sulawesi Tenggara,Kab. Konawe,133.15,48599.57,699267.0,20.0,349633.5,10.0,349633.5,10.0,1048900.5,30.0,524450.25,15.0,24474.345,0.7,17481.675,0.5,384596.85,11.0,97897.38,2.8,35.0,1.0,9.0,0.3,3.0,110.4974,116.4054,48599.57,3454.287879,7.10765,5033.0,10.35606,8487.29,17.46371,2099.72807,5033.0,10.36,P 2,6087.68,1.0467,0.02,0.25,0.5,0.01,0.18,0.0,0.01,0.0,0.0,0.0,0.0,0.09,1
2024,Sulawesi Tenggara,Kab. Konawe Utara,30.96,11299.09,699267.0,20.0,349633.5,10.0,349633.5,10.0,1048900.5,30.0,524450.25,15.0,24474.345,0.7,17481.675,0.5,384596.85,11.0,97897.38,2.8,801.8421429,94.33448276,560.3368966,105.6146154,201.3748148,110.4974,116.4054,11299.09,3454.287879,30.57138,723.0,6.39875,4177.29,36.97013,2099.72807,3382.7619047619046,48.52151788119136,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sulawesi Tenggara,Kab. Kolaka Timur,56.58,20651.85,1748167.5,50.0,349633.5,10.0,524450.25,15.0,419560.2,12.0,139853.4,4.0,69926.7,2.0,174816.75,5.0,34963.35,1.0,34963.35,1.0,25.0,1.0,20.0,3.0,1.0,7.0,1.0,20651.85,910.0,4.40638,1186.0,5.74283,2096.0,10.14921,884.0,1186.0,5.74,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sulawesi Tenggara,Kota Kendari,252.85,92291.44,1824737.237,52.19,443684.9115,12.69,327256.956,9.36,425154.336,12.16,54193.1925,1.55,45452.355,1.3,57689.5275,1.65,65381.4645,1.87,252785.0205,7.23,188.0,0.56,51.21,2.18,3.45,9.75,1.02,92291.44,8959.666667,9.70801,88715.0,96.12484,97674.67,105.83286,3504.333333,26665.0,28.89,P 2,271.76,53.28022,19.61,7.05,0.0,38.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0
2024,Sulawesi Tenggara,Kota Bau Bau,91.0,33215.0,16782.408,0.48,217122.4035,6.21,161530.677,4.62,510115.2765,14.59,144049.002,4.12,498.225,1.5,3985.8,12.0,1992.9,6.0,2446735.233,69.98,4.3,2.2,1.37,3.92,2.61,10.59,66.0,33215.0,8.0,0.02409,32445.0,97.68177,32453.0,97.70586,3385.5,5800.0,17.46,P 2,295.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Gorontalo,Kab. Bone Bolango,56.86,20753.66,952751.2875,27.25,1187355.366,33.96,288797.271,8.26,585985.746,16.76,192298.425,5.5,465.812,2.244444444,223765.44,6.4,65381.4645,1.87,1373.9148,6.62,33.21,6.38,25.62,8.26,16.24,8.31,1.98,20753.66,164.0,0.79022,1632.0,7.86367,1796.0,8.6539,52.0,1632.0,8.12,P 2,1915.42,0.28744,0.02,0.2,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2024,Gorontalo,Kota Gorontalo,143.05,52213.98,952751.2875,27.25,1187355.366,33.96,288797.271,8.26,585985.746,16.76,192298.425,5.5,0.0,0.0,223765.44,6.4,65381.4645,1.87,0.0,0.0,31.66666667,12.33333333,575.3333333,18.33333333,8.333333333,6.333333333,0.0,52213.98,192.0,0.36772,11757.0,22.51696,11949.0,22.88468,183.0,11757.0,22.87,P 2,79.59,0.29159,0.37,0.08,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.15,1
2024,Sulawesi Barat,Kab. Mamuju,146.2,53362.09,952751.2875,27.25,1187355.366,33.96,288797.271,8.26,585985.746,16.76,192298.425,5.5,0.0,0.0,223765.44,6.4,65381.4645,1.87,0.0,0.0,55.5925,2.7925,6.7625,8.89,10.1875,14.33,9.317142857,53362.09,2456.0,4.60252,761.0,1.42611,3217.0,6.02862,2403.0,761.0,1.43,P 2,4954.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sulawesi Barat,Kab. Majene,90.68,33098.2,1311125.625,37.5,445782.7125,12.75,496829.2035,14.21,734230.35,21.0,122371.725,3.5,53493.9255,1.53,39158.952,1.12,48599.0565,1.39,244743.45,7.0,55.5925,2.7925,6.7625,8.89,10.1875,14.33,9.317142857,33098.2,11.0,0.03323,736.0,2.22369,747.0,2.25692,731.6666667,736.0,2.22,P 2,947.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
