Klaster,Timbulan Sampah Tahunan (ton/tahun)(A),Sisa Makanan (%),KayuRanting (%),Plastik(%),KertasKarton (%),%Pengurangan Sampah(B/A),%Penanganan Sampah(C/A),%Sampah Terkelola(B+C)/A,Recycling Rate(D+E)/A,Rumah Tangga(ton),Pasar(ton),Perniagaan(ton),Kawasan(ton),% RTH(B/A),Taman Kota (km2),Hutan Kota (km2),Jumlah_Anggota
0,128022.9131858407,45.61805309734513,11.308043403008849,17.494247787610618,10.766017699115043,5.301167921808097,66.91174823008849,72.21291619469027,22.293333212724026,1381.1432627046017,229.3773169121239,157.62503621974338,198.19472603840705,14.107168141592922,17.204690265486725,120.90451327433628,113
1,97903.88936651584,35.28868778280543,13.148015648552036,21.669999999999998,11.979140271493213,3.461183639817632,12.499142352941178,15.960326018099547,7.828303287495923,930.0593956790498,320.07930560239816,133.82453718062578,193.92551338041628,1.155158371040724,1.0862443438914027,2.260135746606335,221
2,203822.59,38.765,15.7725,22.525,10.3225,13.543206792,17.9349725,31.4781775,17.8825,81821.40375,38265.4625,28935.25625,22463.154625000003,2.1275000000000004,0.235,0.29250000000000004,4
